,number,l_p_l_lo_x,l_p_l_lo_y,l_p_l_re_x,l_p_l_re_y,l_p_r_lo_x,l_p_r_lo_y,l_p_r_re_x,l_p_r_re_y,l_h_l_x,l_h_l_y,l_h_r_x,l_h_r_y,r_p_l_lo_x,r_p_l_lo_y,r_p_l_re_x,r_p_l_re_y,r_p_r_lo_x,r_p_r_lo_y,r_p_r_re_x,r_p_r_re_y,r_h_l_x,r_h_l_y,r_h_r_x,r_h_r_y,3d_p_x,3d_p_y,3d_p_z,3d_h_l_x,3d_h_l_y,3d_h_l_z,3d_h_r_x,3d_h_r_y,3d_h_r_z
0,1616,1276.68,374.85,1276.68,374.85,1297.31,372.83,1297.31,372.83,320.64,679.55,2111.44,537.01,1312.74,427.67,1312.74,427.67,1329.21,428.7,1329.21,428.7,299.3,617.8,2199.32,703.7,588.47,4191.27,3481.42,-247.76,4480.48,3386.97,1281.25,4299.67,3261.6
0,1617,1273.85,374.22,1273.85,374.22,1291.48,373.19,1293.42,381.17,323.39,679.48,2111.88,536.75,1307.53,426.48,1307.53,426.48,1324.27,427.1,1318.67,434.25,299.5,617.76,2199.39,702.95,580.49,4195.35,3468.66,-246.75,4480.07,3380.16,1280.92,4299.43,3260.42
0,1618,1271.53,373.77,1279.68,374.01,1289.25,372.57,1289.25,372.57,318.71,677.9,2113.19,535.24,1304.87,426.65,1300.84,425.86,1321.85,427.49,1321.85,427.49,298.67,617.03,2199.92,702.27,577.93,4191.75,3460.57,-248.76,4479.38,3390.4,1280.4,4298.08,3257.66
0,1619,1268.15,375.69,1270.27,374.57,1285.87,374.51,1290.05,372.74,316.46,679.6,2113.32,535.46,1301.34,425.07,1305.13,426.77,1319.23,425.67,1321.0,426.88,298.25,616.76,2200.53,702.34,581.48,4191.53,3480.11,-249.63,4480.96,3395.26,1281.27,4298.26,3258.83
0,1620,1266.67,375.13,1266.67,375.13,1284.39,373.95,1282.48,372.4,315.67,680.02,2113.79,535.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.07,617.04,2200.96,702.49,0,0,0,-249.53,4481.5,3399.69,1281.49,4298.46,3258.43
0,1621,1222.1,388.37,1222.1,388.37,1237.39,377.13,1237.39,377.13,315.77,680.85,2114.22,535.65,1298.94,427.42,1298.94,427.42,1317.57,428.23,1317.57,428.23,299.97,617.94,2200.77,702.9,594.41,4196.39,3640.14,-249.06,4482.25,3401.96,1280.76,4298.4,3256.61
0,1622,1262.76,375.17,1262.76,375.17,1280.38,374.13,1273.81,376.38,316.15,683.55,2113.25,536.97,1302.78,432.16,1302.78,432.16,1314.68,425.3,1314.68,425.3,300.43,619.14,2200.22,703.59,580.6,4193.0,3506.71,-248.61,4484.37,3402.21,1280.9,4299.58,3258.25
0,1623,1260.35,375.94,1260.8,377.32,1277.97,374.93,1282.29,374.26,316.68,684.19,2113.36,537.24,1294.58,429.21,1295.8,427.93,1311.07,429.78,1311.96,428.55,300.77,619.95,2199.9,704.12,573.71,4193.84,3480.83,-248.25,4484.83,3401.71,1280.28,4299.82,3257.08
0,1624,1258.47,377.74,1258.47,377.74,1279.45,374.81,1279.45,374.81,316.39,684.24,2113.54,537.09,1291.55,426.49,1293.44,428.41,1308.48,427.02,1309.83,428.88,301.46,620.78,2200.0,704.1,571.97,4194.34,3482.59,-248.05,4485.0,3404.49,1280.26,4299.69,3256.78
0,1625,1256.27,378.87,1256.27,378.87,1276.87,376.33,1276.87,376.33,316.91,685.34,2113.2,537.89,1291.21,428.77,1291.21,428.77,1307.73,429.2,1307.73,429.2,301.25,621.14,2199.8,704.35,570.29,4195.58,3483.95,-247.91,4485.76,3402.44,1280.31,4300.39,3257.33
0,1626,1254.21,378.3,1254.21,378.3,1274.56,376.08,1274.56,376.08,319.07,682.4,2113.0,537.23,1289.02,428.79,1289.02,428.79,1305.45,429.22,1305.45,429.22,300.76,621.74,2199.6,704.19,568.38,4195.32,3484.39,-247.53,4483.1,3395.31,1280.16,4299.82,3257.45
0,1627,1252.12,378.2,1252.12,378.2,1272.41,376.27,1272.41,376.27,321.33,680.94,2113.12,537.29,1286.6,428.88,1286.6,428.88,1303.13,429.25,1303.13,429.25,301.44,622.12,2199.7,704.03,566.32,4195.48,3484.24,-246.53,4481.73,3391.16,1280.21,4299.88,3257.34
0,1628,1250.18,378.7,1250.18,378.7,1270.37,376.93,1270.37,376.93,322.32,680.59,2112.54,537.63,1284.39,428.63,1284.39,428.63,1300.66,429.03,1300.66,429.03,301.64,621.56,2199.34,704.06,564.27,4196.12,3483.73,-246.12,4481.35,3389.05,1280.22,4300.19,3258.23
0,1629,1248.18,377.67,1248.18,377.67,1268.33,375.75,1268.33,375.75,319.44,679.25,2112.79,536.65,1282.15,428.4,1282.15,428.4,1298.65,428.64,1298.65,428.64,300.92,620.65,2199.01,703.98,562.41,4195.24,3483.97,-247.47,4480.62,3394.8,1279.39,4299.34,3256.59
0,1630,1246.32,377.74,1246.32,377.74,1261.6,377.55,1261.6,377.55,317.25,679.3,2112.18,536.76,1278.1,426.25,1278.1,426.25,1295.11,426.84,1289.07,426.59,299.78,620.04,2199.09,703.33,555.92,4196.54,3477.47,-248.7,4480.81,3397.48,1280.13,4299.44,3258.7
0,1631,1244.21,377.67,1244.21,377.67,1264.87,375.54,1264.87,375.54,317.19,679.15,2112.26,536.63,1275.44,426.44,1277.56,427.51,1292.12,427.14,1294.0,427.92,299.67,619.47,2198.92,703.2,558.23,4195.41,3482.23,-248.78,4480.69,3397.34,1279.79,4299.34,3258.03
0,1632,1241.6,377.04,1241.6,377.04,1261.52,375.24,1261.52,375.24,313.72,679.14,2112.68,536.19,1275.08,426.71,1275.08,426.71,1291.47,427.08,1291.47,427.08,298.71,617.37,2198.83,702.96,556.27,4195.08,3484.51,-250.38,4481.04,3403.97,1279.21,4298.95,3256.5
0,1633,1238.75,377.23,1238.75,377.23,1258.81,375.5,1258.81,375.5,312.12,679.56,2111.94,536.69,1272.74,425.99,1272.74,425.99,1289.15,426.36,1289.15,426.36,298.35,616.72,2198.7,703.17,554.47,4195.34,3486.64,-251.07,4481.54,3407.27,1279.76,4299.39,3258.48
0,1634,1236.7,377.26,1236.7,377.26,1256.58,375.7,1256.58,375.7,310.1,676.45,2112.16,536.77,1270.2,425.7,1270.2,425.7,1286.56,426.2,1286.56,426.2,298.2,615.95,2198.59,703.2,552.19,4195.58,3485.93,-251.96,4479.37,3412.37,1279.36,4299.47,3257.5
0,1635,1234.92,377.05,1234.92,377.05,1254.47,375.89,1254.47,375.89,317.25,671.34,2112.2,536.63,1267.78,425.3,1267.78,425.3,1284.19,426.35,1284.19,426.35,297.21,615.83,2198.62,703.67,550.03,4195.71,3485.07,-250.18,4474.29,3390.33,1279.35,4299.34,3257.43
0,1636,1232.43,376.94,1232.43,376.94,1251.92,376.2,1251.92,376.2,321.89,668.93,2112.05,537.47,1265.21,425.02,1265.21,425.02,1281.72,426.2,1281.72,426.2,296.38,615.28,2198.73,704.22,547.91,4195.91,3485.72,-249.07,4471.7,3375.62,1279.71,4300.07,3258.18
